Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,2235.100098,2261.250000,2226.520020,2248.679932,2248.679932,3424800
2020-08-27,2248.889893,2252.889893,2222.050049,2228.479980,2228.479980,3695900
2020-08-28,2228.399902,2263.419922,2222.739990,2253.260010,2253.260010,3486000
2020-08-31,2253.909912,2273.250000,2216.929932,2217.050049,2217.050049,4076600
2020-09-01,2217.820068,2231.270020,2195.110107,2219.479980,2219.479980,4040800
2020-09-02,2220.260010,2248.219971,2209.010010,2216.090088,2216.090088,3926800
2020-09-03,2220.850098,2258.439941,2208.399902,2215.169922,2215.169922,3305900
2020-09-04,2215.090088,2258.500000,2206.520020,2217.290039,2217.290039,4740200
2020-09-07,2217.639893,2276.820068,2216.810059,2251.659912,2251.659912,2875000
2020-09-08,2251.909912,2263.449951,2212.010010,2217.790039,2217.790039,3652900
2020-09-09,2218.340088,2259.149902,2203.679932,2252.360107,2252.360107,3306100
2020-09-10,2251.820068,2270.590088,2239.530029,2245.479980,2245.479980,3809500
2020-09-11,2245.060059,2245.060059,2219.939941,2232.620117,2232.620117,3485000
2020-09-14,2232.979980,2251.149902,2232.280029,2238.040039,2238.040039,2670700
2020-09-15,2238.949951,2259.330078,2229.449951,2236.850098,2236.850098,3459700
2020-09-16,2236.850098,2260.360107,2234.669922,2258.830078,2258.830078,3914300
2020-09-17,2258.679932,2258.719971,2230.949951,2242.949951,2242.949951,3809400
2020-09-18,2242.229980,2242.669922,2200.570068,2206.239990,2206.239990,10630000
2020-09-21,2203.659912,2203.659912,2118.139893,2125.310059,2125.310059,5731800
2020-09-22,2127.090088,2158.840088,2116.719971,2130.219971,2130.219971,4039300
2020-09-23,2131.469971,2163.919922,2111.699951,2111.699951,2111.699951,4511500
2020-09-24,2108.129883,2124.070068,2081.449951,2102.419922,2102.419922,5003800
2020-09-25,2100.379883,2119.330078,2078.239990,2083.020020,2083.020020,4692400
2020-09-28,2086.510010,2125.979980,2086.510010,2124.060059,2124.060059,4802600
2020-09-29,2124.330078,2129.919922,2093.389893,2096.030029,2096.030029,3863200
2020-09-30,2095.449951,2122.330078,2080.520020,2108.750000,2108.750000,5082600
2020-10-01,2109.070068,2129.090088,2088.020020,2090.270020,2090.270020,4575600
2020-10-02,2090.389893,2102.790039,2073.830078,2100.790039,2100.790039,4668500
2020-10-05,2101.530029,2143.120117,2101.530029,2141.100098,2141.100098,3999200
2020-10-06,2129.250000,2190.610107,2127.209961,2175.100098,2175.100098,4771400
2020-10-07,2175.050049,2191.639893,2166.330078,2173.790039,2173.790039,4676600
2020-10-08,2174.479980,2217.129883,2174.479980,2212.620117,2212.620117,4807400
2020-10-09,2212.770020,2229.260010,2208.739990,2214.620117,2214.620117,4225100
2020-10-12,2215.520020,2240.909912,2212.169922,2218.870117,2218.870117,4013100
2020-10-13,2218.840088,2219.760010,2189.679932,2193.719971,2193.719971,4182700
2020-10-14,2193.379883,2220.500000,2191.989990,2210.229980,2210.229980,3756900
2020-10-15,2210.389893,2210.530029,2160.270020,2176.909912,2176.909912,4716200
